eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
1,11.899990569900805,2.08745980577654,True
2,4.127612863262579,1.9380774822902864,True
3,3.0994876548454973,1.8417634673215924,True
4,2.4350085721446595,1.7685803328740484,True
5,2.092316492712152,1.6960998457830898,True
6,1.9164256615851412,1.6395587517283352,True
7,1.8300362022783496,1.572610690089602,True
8,1.6111515690780713,1.522394835305934,True
9,1.389581699732499,1.4717092440181765,False
10,1.186940973420028,1.427427807288481,False
11,1.094778529909402,1.3773478236127088,False
12,0.9758915090307825,1.3333428606195799,False
13,0.8912193642005922,1.2887367339014433,False
14,0.868052255154515,1.2523301419263237,False
15,0.7536874340168331,1.2158647536504852,False
16,0.6941528294618428,1.1769237153284435,False
17,0.6902287753326711,1.1399781447230541,False
18,0.5996833265983248,1.104588029716211,False
19,0.5454731857089984,1.0702348169913731,False
20,0.5003759701925972,1.0371047960635615,False
21,0.4653290345654251,1.0010772608733611,False
22,0.4118179671788099,0.9663114962686025,False
23,0.37899548317508613,0.9360009918936514,False
24,0.3511557881331905,0.9035515310558081,False
25,0.3251634105764675,0.8744724757280274,False
26,0.29092448474674876,0.8433503466790181,False
27,0.2755151029502006,0.8152200581117403,False
28,0.24444771585752964,0.7864566588579747,False
29,0.22466251757444236,0.7556082180482225,False
30,0.19964999812224007,0.7301462934219214,False
31,0.18644117224240372,0.7016818312299079,False
32,0.1329738878278495,0.6764694907367037,False
33,0.09946892947927595,0.648465993119558,False
34,0.0929777700886774,0.6222786475252167,False
35,0.048840878704379836,0.5957068515261222,False
36,0.03348094942334586,0.5708052736863531,False
37,0.019139941939605876,0.5438782928473249,False
38,0.006993581247815636,0.5164998505612352,False
39,0.0052006237844870705,0.48955104630890495,False
40,0.0024523296857016366,0.46276786470147196,False
41,0.001467174125443164,0.43431489571758963,False
42,0.0007162199033544052,0.40475813022342644,False
43,8.960010115693711e-05,0.3711194292728889,False
