feature,factor_1,factor_2
trade_in_services_percent_of_gdp,-0.0864184318235026,-0.007610536949671347
imports_of_goods_and_services_bop_current_usd,0.039509709711099364,0.994177831715033
insurance_and_financial_services_percent_of_service_imports_bop,-0.00924163334402391,0.06325640253728465
imports_of_goods_services_and_primary_income_bop_current_usd,0.02786334679449767,0.9958333578612386
transport_services_percent_of_service_imports_bop,-0.02101835996454812,-0.2714061415749448
travel_services_percent_of_service_imports_bop,-0.019602462396387462,-0.06896228800137581
foreign_direct_investment_net_outflows_bop_current_usd,-0.030869195608239152,0.8700291862186992
foreign_direct_investment_net_outflows_percent_of_gdp,-0.029129030488503918,0.32603997701508725
net_trade_in_goods_and_services_bop_current_usd,0.023231009357024896,0.24017136893912744
foreign_direct_investment_net_bop_current_usd,-0.07682650296392991,0.33299549720484145
portfolio_investment_net_bop_current_usd,0.029051223882706687,-0.1919388265420495
exports_of_goods_and_services_bop_current_usd,0.040753984902580004,0.9948525894793585
insurance_and_financial_services_percent_of_service_exports_bop,-0.04242530099666334,0.1796449172129438
exports_of_goods_services_and_primary_income_bop_current_usd,0.02327021008066002,0.9956002025280589
transport_services_percent_of_service_exports_bop,-0.0009495613651367008,0.05475123359421769
travel_services_percent_of_service_exports_bop,-0.02246779022641605,-0.31810456695478556
foreign_direct_investment_net_inflows_bop_current_usd,0.006937807678550546,0.8056833753615122
foreign_direct_investment_net_inflows_percent_of_gdp,-0.033486716657422824,0.008474580702374135
short_term_debt_percent_of_exports_of_goods_services_and_primary_income,-0.031460564437558645,-0.009772337227676639
net_oda_received_percent_of_imports_of_goods_services_and_primary_income,-0.08229977525703448,-0.17134506379520825
total_debt_service_percent_of_exports_of_goods_services_and_primary_income,-0.032613725991346626,-0.029289328774940747
debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,-0.07013024686265659,-0.10577668121595646
public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,0.0007273082015619599,-0.11575239060817635
inflation_consumer_prices_annual_percent,0.046808031773262274,-0.09824185895107901
net_investment_in_nonfinancial_assets_current_lcu,0.014964981861962346,-0.0496562064793477
net_investment_in_nonfinancial_assets_percent_of_gdp,-0.03257112431132621,-0.2600479815980648
taxes_on_goods_and_services_current_lcu,0.11906303046250859,0.0823705707217164
taxes_on_goods_and_services_percent_of_revenue,-0.009051459352143715,-0.3124344712472075
taxes_on_goods_and_services_percent_value_added_of_industry_and_services,-0.019633558239696362,-0.20794931342233938
goods_and_services_expense_current_lcu,0.09891418565014823,0.03537312738110304
goods_and_services_expense_percent_of_expense,-0.025264982136904507,-0.22110221151844925
statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,-0.0332247008382833,0.37258122729009824
logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,-0.06324502262437852,0.619524912308214
exports_of_goods_and_services_current_usd,0.05213332965047315,0.9903795841171668
exports_of_goods_and_services_current_lcu,0.9980071152524213,0.031031047212316868
exports_of_goods_and_services_constant_2015_usd,0.08951563701296497,0.8870646225620292
exports_of_goods_and_services_annual_percent_growth,-0.023105494446425803,-0.1098411721594061
exports_of_goods_and_services_constant_lcu,0.9986480762781715,0.03886987849955781
exports_of_goods_and_services_percent_of_gdp,-0.004506316367276285,0.13655722448771065
imports_of_goods_and_services_current_usd,0.04967713970447561,0.9908140432019374
imports_of_goods_and_services_current_lcu,0.9961217955201995,0.03322184674244587
imports_of_goods_and_services_constant_2015_usd,0.07530922884484802,0.8914567794575002
imports_of_goods_and_services_annual_percent_growth,-0.016288376673559594,-0.09167593451730795
imports_of_goods_and_services_constant_lcu,0.9988960970357382,0.03995627546759387
imports_of_goods_and_services_percent_of_gdp,-0.043934858314075294,-0.011326456387306054
external_balance_on_goods_and_services_current_usd,0.03114362891480779,0.24704103707661232
external_balance_on_goods_and_services_current_lcu,0.9104645736853354,0.01287370816040636
external_balance_on_goods_and_services_constant_lcu,0.6492903323743558,0.08344322105322305
external_balance_on_goods_and_services_percent_of_gdp,0.05347941469764242,0.22690356929013514
services_value_added_per_worker_constant_2015_usd,-0.049541321102451026,0.4557168580988114
services_value_added_current_usd,0.04403247654864802,0.8228289543996867
services_value_added_current_lcu,0.990661818992227,0.05180825245292597
services_value_added_constant_2015_usd,0.04762799890913216,0.8325846678380983
services_value_added_annual_percent_growth,0.016620959783285517,-0.06988049518439841
services_value_added_constant_lcu,0.9817911074696677,0.07846911058655963
services_value_added_percent_of_gdp,-0.1281698825259192,0.1701103467818937
inflation_gdp_deflator_annual_percent,0.05414207398892895,-0.0913954815782041
inflation_gdp_deflator_linked_series_annual_percent,0.05433973021634685,-0.09247771520837463
